,estimator type,score,,
ER_EP_count,linear,0.545265766,0.577501252,dx_ccs_Epilepsy; convulsions_count
ER_EP_indicator,logistic,0.730730798,0.419495995,dx_ccs_Epilepsy; convulsions_count
RESCUE_DRUG_EP_count,linear,0.252952351,0.366495656,dx_ccs_Epilepsy; convulsions_count
RESCUE_DRUG_EP_indicator,logistic,0.586823917,0.313044686,dx_ccs_Screening and history of mental health and substance abuse codes_count
SEIZURE_OTHER_ER_count,linear,0.423670939,0.594041145,SEIZURE_OTHER_indicator
SEIZURE_OTHER_ER_indicator,logistic,0.539461501,0.654546892,SEIZURE_OTHER_indicator
SEIZURE_UNSPECIFIED_ER_count,linear,0.530888679,0.605774839,dx_ccs_Epilepsy; convulsions_count
SEIZURE_UNSPECIFIED_ER_indicator,logistic,0.680752013,0.582858099,SEIZURE_UNSPECIFIED_indicator
stdplac_Ambulatory Surgical Center_count,linear,0.02554762,0.436068499,stdprov_Ambulatory Surgery Centers_count
stdplac_Emergency Room - Hospital_count,linear,0.728161825,0.567466413,dx_ccs_Abdominal pain_count
stdplac_Federally Qualified Health Ctr_count,linear,0.00252509,0.22479497,dx_ccs_Diabetes or abnormal glucose tolerance complicating pregnancy; childbirth; or the puerperium_count
stdplac_Independent Laboratory_count,linear,0.135451701,0.41514821,dx_ccs_Coagulation and hemorrhagic disorders_count
stdplac_Inpatient Hospital_count,linear,0.719081903,0.491545391,dx_groups_Psychiatric disorders_count
stdplac_Inpatient Psychiatric Facility_count,linear,0.192160469,0.401864907,dx_ccs_Mood disorders_count
stdplac_Nursing Facility_count,linear,0.040215837,0.328240295,rx_atc_class_D03_count
stdplac_Office_count,linear,0.358799579,0.339755311,dx_ccs_Developmental disorders_count
stdplac_Other/Unknown_count,linear,0.438598681,0.626946807,dx_ccs_Developmental disorders_count
stdplac_Outpatient Hospital-On Campus_count,linear,0.584501167,0.385302404,rx_atc_class_J01_count
stdplac_Patient Home_count,linear,0.283295147,0.377560411,dx_ccs_Developmental disorders_count
stdplac_Rural Health Clinic_count,linear,0.028007118,0.174439488,causal_topiramate_count_topiramate_count
stdplac_Skilled Nursing Facility_count,linear,0.083690182,0.332251414,stdprov_Hospice Facility_count
stdplac_Urgent Care Facility_count,linear,0.028600851,0.176885024,dx_ccs_Disorders of teeth and jaw_count
stdprov_Acute Care Hospital_count,linear,0.483068044,0.421691671,dx_groups_Psychiatric disorders_count
stdprov_Anesthesiology_count,linear,0.065314399,0.293418903,dx_ccs_Spondylosis; intervertebral disc disorders; other back problems_count
stdprov_Cardiovascular Dis/Cardiology_count,linear,0.238756033,0.334102767,stdprov_Infectious Disease_count
stdprov_Case Manager_count,linear,0.37768082,0.485080432,dx_ccs_Developmental disorders_count
stdprov_Chemical Depend Treatment Ctr_count,linear,0.039093862,0.358765947,dx_ccs_Substance-related disorders_count
stdprov_Chiropractor/DCM_count,linear,0.379321906,0.49131591,dx_ccs_Other bone disease and musculoskeletal deformities_count
stdprov_Dermatology_count,linear,0.032414251,0.285318843,dx_ccs_Other skin disorders_count
stdprov_Emergency Medicine_count,linear,0.39443179,0.358854829,dx_ccs_Abdominal pain_count
stdprov_Extended Care Facility_count,linear,0.012979825,0.575678021,causal_rufinamide_count_rufinamide_count
stdprov_Family Practice_count,linear,0.081629581,0.18891388,rx_atc_class_J01_count
stdprov_Home Health Organiz/Agency_count,linear,0.176667523,0.30160507,dx_ccs_Nervous system congenital anomalies_count
stdprov_Imaging Center_count,linear,0.10274169,0.285332736,dx_ccs_Other circulatory disease_count
